Post Office Name,total_population,avg_income_level,Farmer,female_ratio,male_ratio,pct_0-18,pct_19-35,pct_36-60,pct_60+,pct_student,pct_salaried_individual,pct_business_owner,pct_retired,Rural_Presence,kharif_presence,Sowing Period Numeric,Harvesting Period Numeric,cluster_label
Alirajpur S.O,12698.0,2.125,2158.0,0.5474090407938258,0.4525909592061742,0.19467632698062687,0.30327610647346037,0.21491573476137973,0.287131831784533,0.19467632698062687,0.0,0.34824381792408254,0.287131831784533,1.0,1.0,7,9,4
Borkhad S.O,14076.0,2.25,1221.0,0.6126030122193805,0.3873969877806195,0.27621483375959077,0.24431656720659278,0.1940181869849389,0.2854504120488775,0.27621483375959077,0.0,0.351591361182154,0.2854504120488775,1.0,1.0,7,9,4
Katthiwada S.O,14685.0,2.25,1029.0,0.5652025876744978,0.43479741232550223,0.23854273067756213,0.18549540347293156,0.2835546475995914,0.2924072182499149,0.23854273067756213,0.26598569969356484,0.13299284984678242,0.2924072182499149,1.0,1.0,7,9,4
Sondwa S.O,13078.0,2.25,1036.0,0.5521486465820462,0.4478513534179538,0.23665698118978437,0.42047713717693835,0.17250344089310293,0.17036244074017434,0.23665698118978437,0.5137635724116837,0.0,0.17036244074017434,1.0,1.0,7,9,0
Achalpur B.O,12657.0,2.125,0.0,0.5541597534960891,0.44584024650391085,0.2691001027099629,0.32985699612862446,0.30868294224539783,0.09235995891601485,0.2691001027099629,0.12269890179347397,0.5158410365805484,0.09235995891601485,1.0,1.0,7,11,0
Amai Colliery S.O,13560.0,2.25,0.0,0.553023598820059,0.44697640117994103,0.23591445427728613,0.36504424778761063,0.215929203539823,0.18311209439528023,0.23591445427728613,0.3411504424778761,0.2398230088495575,0.18311209439528023,1.0,1.0,7,11,4
Amarkantak S.O,10369.0,2.125,0.0,0.5470151412865272,0.4529848587134728,0.19510078117465524,0.34545279197608253,0.3325296557045038,0.1269167711447584,0.19510078117465524,0.5287877326646735,0.1491947150159128,0.1269167711447584,1.0,1.0,7,11,2
Amdari B.O,11586.0,2.0,4406.0,0.569135163127913,0.430864836872087,0.1493181425858795,0.3119281891938547,0.3398929742793026,0.19886069394096323,0.1493181425858795,0.1587260486794407,0.1128085620576558,0.19886069394096323,1.0,1.0,7,11,2
Amgawan B.O,23014.0,2.125,2029.0,0.4717128704266968,0.5282871295733033,0.2336838446163205,0.3858520900321543,0.21786738506995743,0.16259668028156773,0.2336838446163205,0.0,0.5155557486747198,0.16259668028156773,1.0,1.0,7,11,0
Anuppur Basti B.O,14196.0,2.25,4803.0,0.5287404902789519,0.4712595097210482,0.19907016060862215,0.3615807269653423,0.2778247393632009,0.1615243730628346,0.19907016060862215,0.18878557340095803,0.11228515074668921,0.1615243730628346,1.0,1.0,7,11,2
Anuppur S.O,9225.0,2.125,4469.0,0.47880758807588075,0.5211924119241192,0.3113279132791328,0.26504065040650404,0.3137127371273713,0.10991869918699188,0.3113279132791328,0.0,0.0943089430894309,0.10991869918699188,1.0,1.0,7,11,0
